Season,TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,seed
2024,East Tennessee St.,68.1895,196,66.967,211,102.988,232,103.393,228,103.549,138,104.407,139,-1.01385,175,
2024,Eastern Illinois,67.4741,243,66.5999,236,96.5098,325,96.2142,331,104.411,166,109.798,247,-13.5837,320,
2024,Eastern Kentucky,70.1776,80,68.6805,99,108.974,104,107.036,161,109.792,291,110.897,273,-3.86137,211,
2024,Eastern Michigan,66.2534,296,65.1819,306,98.3101,306,96.923,323,109.619,289,111.933,297,-15.0097,325,
2024,Eastern Washington,70.6686,60,70.4064,44,112.375,46,112.077,78,109.144,273,110.396,260,1.68103,149,
2024,Elon,67.5175,239,67.353,178,104.212,204,101.866,256,113.003,338,115.119,347,-13.2534,317,
2024,Evansville,69.31,124,68.4611,113,100.332,278,103.084,237,106.475,218,106.729,183,-3.6453,207,
2024,Fairfield,68.9814,145,68.2908,125,109.027,103,108.804,129,103.339,128,109.079,238,-0.275354,166,
2024,Fairleigh Dickinson,72.8658,18,72.0926,15,99.8865,283,98.0186,312,106.746,223,113.309,329,-15.2907,326,
2024,FIU,71.3822,44,70.1666,50,99.5036,287,101.591,259,107.738,251,110.65,265,-9.05874,284,
2024,Florida,72.9572,16,71.6891,18,114.641,22,119.32,14,105.628,198,101.132,83,18.1881,29,7
2024,Florida A&M,69.6002,106,68.2448,127,92.4953,353,93.1738,351,109.214,277,111.292,285,-18.118,342,
2024,Florida Atlantic,69.0573,140,68.0681,137,117.344,14,118.933,16,103.999,147,102.701,107,16.2324,41,8
2024,Florida Gulf Coast,65.5319,325,63.7474,341,105.608,171,103.347,233,109.195,276,108.813,231,-5.46625,242,
2024,Florida St.,72.1832,27,71.0137,31,105.691,170,110.482,94,105.59,197,100.997,80,9.48518,83,
2024,Fordham,69.3648,119,68.6033,105,99.4822,290,101.209,266,102.743,113,103.648,124,-2.4391,191,
2024,Fresno St.,65.9175,309,65.5172,287,100.846,267,103.582,224,111.056,317,108.885,234,-5.30314,238,
2024,Furman,70.3984,72,68.7071,98,110.208,78,109.936,104,107.214,238,107.59,208,2.3455,141,
2024,Gardner Webb,69.8344,96,69.3221,74,101.824,253,102.368,249,105.708,199,105.837,168,-3.46914,205,
2024,George Mason,64.831,343,63.6,344,108.712,110,109.505,109,101.648,86,101.329,88,8.17669,96,
2024,George Washington,70.1992,79,69.6554,64,105.72,168,107.286,155,107.663,249,110.645,264,-3.35921,204,
2024,Georgetown,67.4524,247,66.5443,239,104.034,208,110.201,101,114.976,353,113.282,328,-3.08173,202,
2024,Georgia,70.3399,74,68.2867,126,105.873,165,109.572,108,105.321,189,100.522,69,9.04999,90,
2024,Georgia Southern,70.1652,81,68.8587,94,103.367,221,104.825,207,111.943,329,113.33,330,-8.50492,280,
2024,Georgia St.,70.0835,85,67.8883,147,105.185,181,105.768,186,108.142,256,109.891,249,-4.12238,219,
2024,Georgia Tech,68.2717,189,67.4721,167,102.503,244,108.945,127,108.85,269,105.161,152,3.78329,128,
2024,Gonzaga,69.7948,98,69.0906,83,119.756,3,121,9,99.6295,46,99.4359,46,21.5643,15,5
2024,Grambling St.,66.2915,294,64.8219,314,97.5516,313,99.2748,297,102.899,117,107.085,197,-7.81011,267,16
2024,Grand Canyon,69.3343,122,68.1075,134,112.74,40,113.48,63,95.7241,6,99.5663,51,13.9138,53,12
2024,Green Bay,64.9162,340,63.5712,345,104.825,191,103.897,221,107.027,233,108.979,236,-5.08197,231,
2024,Hampton,70.0071,92,69.6106,66,97.0661,321,94.5486,343,112.087,331,112.531,316,-17.9826,341,
2024,Harvard,67.7425,223,67.3715,176,102.666,238,102.107,253,106.206,213,106.865,190,-4.75802,227,
2024,Hawaii,67.4712,244,66.0633,262,105.234,178,104.899,205,101.917,94,105.242,156,-0.343269,167,
2024,High Point,68.789,154,68.5222,109,117.869,8,115.896,34,107.026,232,110.498,262,5.39765,112,
2024,Hofstra,66.4217,286,65.6151,280,109.994,86,108.498,136,103.464,136,103.163,113,5.3351,114,
2024,Holy Cross,65.3884,329,65.704,275,100.562,274,100.796,273,114.21,349,120.361,362,-19.5656,348,
2024,Houston,64.1588,351,63.267,348,113.057,34,118.869,17,88.2881,1,87.1503,2,31.7189,2,1
2024,Houston Christian,72.6775,20,71.3103,23,95.0097,336,96.7512,327,116.091,356,118.729,360,-21.9777,353,
2024,Howard,69.1666,131,67.5366,163,106.37,150,105.49,192,107.254,240,113.753,334,-8.26283,276,16
2024,Idaho,65.5856,323,64.819,316,100.471,276,98.4546,307,110.526,302,112.116,301,-13.6613,321,
2024,Idaho St.,64.5568,349,63.8811,340,105.332,175,103.419,227,108.567,265,110.125,256,-6.70646,255,
2024,Illinois,70.5498,66,69.8866,56,118.858,6,125.554,3,104.051,151,101.566,93,23.9874,10,3
2024,Illinois Chicago,68.5645,168,68.1225,132,98.9771,297,100.896,272,103.172,126,103.569,123,-2.67271,194,
2024,Illinois St.,65.1605,338,63.6156,343,101.772,255,102.648,244,104.67,175,104.434,140,-1.78662,180,
2024,Incarnate Word,71.3565,46,69.8773,57,98.4341,304,96.5799,329,110.235,299,115.294,349,-18.7138,343,
2024,Indiana,69.3814,117,68.424,116,104.287,201,109.729,106,107.097,235,101.05,81,8.67879,93,
2024,Indiana St.,71.3635,45,70.4988,40,117.797,9,118.263,22,101.149,78,102.165,99,16.0981,45,
2024,Iona,67.9996,212,66.9148,215,104.945,186,103.669,222,103.598,139,108.216,216,-4.54691,223,
2024,Iowa,72.4224,23,71.3307,22,113.977,27,119.207,15,109.287,280,105.188,153,14.0188,52,
2024,Iowa St.,68.1713,199,67.3386,179,110.446,74,113.865,55,89.9131,2,87.1473,1,26.7178,5,2
2024,IUPUI,68.6599,161,67.3322,181,94.0042,346,92.1142,353,118.33,361,117.746,358,-25.6317,360,
2024,Jackson St.,69.9847,93,68.3826,119,101.691,256,100.412,278,107.616,248,112.499,314,-12.0866,309,
2024,Jacksonville,67.6103,230,65.4693,291,103.007,230,101.118,268,109.64,290,109.208,240,-8.0904,271,
2024,Jacksonville St.,66.2387,297,64.693,322,101.206,261,102.015,254,101.686,87,104.905,149,-2.88972,199,
2024,James Madison,71.1256,51,69.4735,71,115.358,19,113.86,56,96.5285,11,100.96,79,12.9,59,12
2024,Kansas,69.6118,104,68.9374,92,107.292,134,113.385,65,99.1572,35,94.1588,10,19.2258,22,4
2024,Kansas St.,68.2656,190,67.2777,187,102.535,243,108.434,138,100.572,65,96.3573,22,12.0764,68,
2024,Kennesaw St.,74.859,3,73.9803,4,108.219,115,105.34,195,111.043,316,112.721,318,-7.38062,263,
2024,Kent St.,67.5109,240,66.4948,244,107.208,136,106.137,177,104.362,165,106.803,186,-0.665559,172,
2024,Kentucky,74.0781,8,72.6509,9,119.208,5,122.715,5,106.045,211,102.69,106,20.0246,19,3
2024,La Salle,67.1413,260,66.5255,241,105.034,183,106.02,178,108.506,263,108.765,229,-2.74517,195,
2024,Lafayette,65.263,334,65.2056,304,94.677,344,93.6639,346,102.005,95,106.973,193,-13.3092,318,
2024,Lamar,69.9484,95,68.1589,131,107.376,131,104.496,213,103.442,133,108.063,215,-3.56646,206,
2024,Le Moyne,68.3518,184,67.2241,192,102.119,247,100.128,286,104.201,161,111.037,279,-10.9092,300,
2024,Lehigh,69.5705,108,69.9393,54,100.56,275,99.6086,293,101.632,85,106.892,192,-7.28301,261,
2024,Liberty,65.7146,319,64.5105,328,108.236,114,109.132,120,103.16,125,106.42,179,2.71212,138,
2024,Lindenwood,68.1848,197,67.0247,209,92.7112,351,91.797,355,109.256,278,114.158,338,-22.3609,356,
2024,Lipscomb,70.4817,70,68.9839,90,114.255,24,112.048,79,109.816,293,112.227,307,-0.178841,165,
2024,Little Rock,69.7955,97,68.6472,101,110.078,82,106.975,164,102.242,103,109.172,239,-2.19746,184,
2024,LIU,71.2761,48,70.2329,49,92.791,350,93.3333,349,106.965,230,112.155,302,-18.8221,344,
2024,Long Beach St.,71.9116,34,71.2551,27,106.086,159,107.739,147,105.086,185,107.757,210,-0.0179405,163,15
2024,Longwood,67.8933,215,66.7608,227,107.318,132,105.713,188,101.377,81,104.754,146,0.959163,157,16
2024,Louisiana,70.377,73,68.6791,100,106.573,147,105.926,181,103.403,129,104.406,138,1.52005,152,
2024,Louisiana Monroe,68.261,192,67.1799,195,97.9774,309,100.147,285,109.431,285,110.643,263,-10.4957,296,
